distance,walking_distance,duration,from,to
2991,581,1624,"['南坪', '后堡']",解放碑
2991,581,1624,"['南坪', '后堡']",江北嘴
2991,581,1624,"['南坪', '后堡']",弹子石
2178,0,380,"['后堡', '七星岗']",解放碑
2178,0,380,"['后堡', '七星岗']",江北嘴
2178,0,380,"['后堡', '七星岗']",弹子石
1042,0,291,"['七星岗', '大礼堂']",解放碑
1042,0,291,"['七星岗', '大礼堂']",江北嘴
1042,0,291,"['七星岗', '大礼堂']",弹子石
878,0,278,"['大礼堂', '曾家岩']",解放碑
878,0,278,"['大礼堂', '曾家岩']",江北嘴
878,0,278,"['大礼堂', '曾家岩']",弹子石
754,0,268,"['曾家岩', '鲤鱼池']",解放碑
754,0,268,"['曾家岩', '鲤鱼池']",江北嘴
754,0,268,"['曾家岩', '鲤鱼池']",弹子石
970,0,285,"['鲤鱼池', '红土地']",解放碑
970,0,285,"['鲤鱼池', '红土地']",江北嘴
970,0,285,"['鲤鱼池', '红土地']",弹子石
1385,0,318,"['红土地', '龙头寺公园']",解放碑
1385,0,318,"['红土地', '龙头寺公园']",江北嘴
1385,0,318,"['红土地', '龙头寺公园']",弹子石
760,0,269,"['龙头寺公园', '重庆北站南广场']",解放碑
760,0,269,"['龙头寺公园', '重庆北站南广场']",江北嘴
760,0,269,"['龙头寺公园', '重庆北站南广场']",弹子石
529,0,251,"['重庆北站南广场', '重庆北站北广场']",解放碑
529,0,251,"['重庆北站南广场', '重庆北站北广场']",江北嘴
529,0,251,"['重庆北站南广场', '重庆北站北广场']",弹子石
2662,0,418,"['重庆北站北广场', '民心佳园']",解放碑
2662,0,418,"['重庆北站北广场', '民心佳园']",江北嘴
2662,0,418,"['重庆北站北广场', '民心佳园']",弹子石
2458,0,402,"['民心佳园', '三亚湾']",解放碑
2458,0,402,"['民心佳园', '三亚湾']",江北嘴
2458,0,402,"['民心佳园', '三亚湾']",弹子石
3004,0,444,"['三亚湾', '上湾路']",解放碑
3004,0,444,"['三亚湾', '上湾路']",江北嘴
3004,0,444,"['三亚湾', '上湾路']",弹子石
1882,0,357,"['上湾路', '环山公园']",解放碑
1882,0,357,"['上湾路', '环山公园']",江北嘴
1882,0,357,"['上湾路', '环山公园']",弹子石
1989,0,365,"['环山公园', '长河']",解放碑
1989,0,365,"['环山公园', '长河']",江北嘴
1989,0,365,"['环山公园', '长河']",弹子石
5753,0,659,"['长河', '江北机场T3航站楼']",解放碑
5753,0,659,"['长河', '江北机场T3航站楼']",江北嘴
5753,0,659,"['长河', '江北机场T3航站楼']",弹子石
2296,0,389,"['江北机场T3航站楼', '江北机场T2航站楼']",解放碑
2296,0,389,"['江北机场T3航站楼', '江北机场T2航站楼']",江北嘴
2296,0,389,"['江北机场T3航站楼', '江北机场T2航站楼']",弹子石
684,0,263,"['江北机场T2航站楼', '渝北广场']",解放碑
684,0,263,"['江北机场T2航站楼', '渝北广场']",江北嘴
684,0,263,"['江北机场T2航站楼', '渝北广场']",弹子石
1970,0,363,"['渝北广场', '鹿山']",解放碑
1970,0,363,"['渝北广场', '鹿山']",江北嘴
1970,0,363,"['渝北广场', '鹿山']",弹子石
1578,0,333,"['鹿山', '中央公园东']",解放碑
1578,0,333,"['鹿山', '中央公园东']",江北嘴
1578,0,333,"['鹿山', '中央公园东']",弹子石
697,0,264,"['中央公园东', '中央公园']",解放碑
697,0,264,"['中央公园东', '中央公园']",江北嘴
697,0,264,"['中央公园东', '中央公园']",弹子石
917,0,281,"['中央公园', '中央公园西']",解放碑
917,0,281,"['中央公园', '中央公园西']",江北嘴
917,0,281,"['中央公园', '中央公园西']",弹子石
2588,0,412,"['中央公园西', '悦来']",解放碑
2588,0,412,"['中央公园西', '悦来']",江北嘴
2588,0,412,"['中央公园西', '悦来']",弹子石
1894,0,358,"['悦来', '王家庄']",解放碑
1894,0,358,"['悦来', '王家庄']",江北嘴
1894,0,358,"['悦来', '王家庄']",弹子石
699,0,349,"['朝天门', '小什字']",解放碑
699,0,349,"['朝天门', '小什字']",江北嘴
699,0,349,"['朝天门', '小什字']",弹子石
1572,0,411,"['小什字', '较场口']",解放碑
1572,0,411,"['小什字', '较场口']",江北嘴
1572,0,411,"['小什字', '较场口']",弹子石
938,0,366,"['较场口', '七星岗']",解放碑
938,0,366,"['较场口', '七星岗']",江北嘴
938,0,366,"['较场口', '七星岗']",弹子石
1425,0,401,"['七星岗', '两路口']",解放碑
1425,0,401,"['七星岗', '两路口']",江北嘴
1425,0,401,"['七星岗', '两路口']",弹子石
1683,0,419,"['两路口', '鹅岭']",解放碑
1683,0,419,"['两路口', '鹅岭']",江北嘴
1683,0,419,"['两路口', '鹅岭']",弹子石
1995,0,441,"['鹅岭', '大坪']",解放碑
1995,0,441,"['鹅岭', '大坪']",江北嘴
1995,0,441,"['鹅岭', '大坪']",弹子石
1156,0,381,"['大坪', '石油路']",解放碑
1156,0,381,"['大坪', '石油路']",江北嘴
1156,0,381,"['大坪', '石油路']",弹子石
1086,0,376,"['石油路', '歇台子']",解放碑
1086,0,376,"['石油路', '歇台子']",江北嘴
1086,0,376,"['石油路', '歇台子']",弹子石
1378,0,397,"['歇台子', '石桥铺']",解放碑
1378,0,397,"['歇台子', '石桥铺']",江北嘴
1378,0,397,"['歇台子', '石桥铺']",弹子石
1801,0,427,"['石桥铺', '高庙村']",解放碑
1801,0,427,"['石桥铺', '高庙村']",江北嘴
1801,0,427,"['石桥铺', '高庙村']",弹子石
1405,0,399,"['高庙村', '马家岩']",解放碑
1405,0,399,"['高庙村', '马家岩']",江北嘴
1405,0,399,"['高庙村', '马家岩']",弹子石
1290,0,391,"['马家岩', '小龙坎']",解放碑
1290,0,391,"['马家岩', '小龙坎']",江北嘴
1290,0,391,"['马家岩', '小龙坎']",弹子石
870,0,361,"['小龙坎', '沙坪坝']",解放碑
870,0,361,"['小龙坎', '沙坪坝']",江北嘴
870,0,361,"['小龙坎', '沙坪坝']",弹子石
1378,0,397,"['沙坪坝', '杨公桥']",解放碑
1378,0,397,"['沙坪坝', '杨公桥']",江北嘴
1378,0,397,"['沙坪坝', '杨公桥']",弹子石
961,0,368,"['杨公桥', '烈士墓']",解放碑
961,0,368,"['杨公桥', '烈士墓']",江北嘴
961,0,368,"['杨公桥', '烈士墓']",弹子石
1023,0,372,"['烈士墓', '磁器口']",解放碑
1023,0,372,"['烈士墓', '磁器口']",江北嘴
1023,0,372,"['烈士墓', '磁器口']",弹子石
1436,0,401,"['磁器口', '石井坡']",解放碑
1436,0,401,"['磁器口', '石井坡']",江北嘴
1436,0,401,"['磁器口', '石井坡']",弹子石
1996,0,441,"['石井坡', '双碑']",解放碑
1996,0,441,"['石井坡', '双碑']",江北嘴
1996,0,441,"['石井坡', '双碑']",弹子石
6731,0,777,"['双碑', '赖家桥']",解放碑
6731,0,777,"['双碑', '赖家桥']",江北嘴
6731,0,777,"['双碑', '赖家桥']",弹子石
1603,0,413,"['赖家桥', '微电园']",解放碑
1603,0,413,"['赖家桥', '微电园']",江北嘴
1603,0,413,"['赖家桥', '微电园']",弹子石
3123,0,521,"['微电园', '陈家桥']",解放碑
3123,0,521,"['微电园', '陈家桥']",江北嘴
3123,0,521,"['微电园', '陈家桥']",弹子石
1639,0,416,"['陈家桥', '大学城']",解放碑
1639,0,416,"['陈家桥', '大学城']",江北嘴
1639,0,416,"['陈家桥', '大学城']",弹子石
1327,0,394,"['大学城', '尖顶坡']",解放碑
1327,0,394,"['大学城', '尖顶坡']",江北嘴
1327,0,394,"['大学城', '尖顶坡']",弹子石
5565,0,694,"['尖顶坡', '璧山']",解放碑
5565,0,694,"['尖顶坡', '璧山']",江北嘴
5565,0,694,"['尖顶坡', '璧山']",弹子石
1123,0,228,"['鱼洞', '大江']",解放碑
1123,0,228,"['鱼洞', '大江']",江北嘴
1123,0,228,"['鱼洞', '大江']",弹子石
3478,0,455,"['大江', '白居寺']",解放碑
3478,0,455,"['大江', '白居寺']",江北嘴
3478,0,455,"['大江', '白居寺']",弹子石
1886,0,301,"['白居寺', '刘家坝']",解放碑
1886,0,301,"['白居寺', '刘家坝']",江北嘴
1886,0,301,"['白居寺', '刘家坝']",弹子石
1490,0,263,"['刘家坝', '金家湾']",解放碑
1490,0,263,"['刘家坝', '金家湾']",江北嘴
1490,0,263,"['刘家坝', '金家湾']",弹子石
1156,0,231,"['金家湾', '建桥']",解放碑
1156,0,231,"['金家湾', '建桥']",江北嘴
1156,0,231,"['金家湾', '建桥']",弹子石
1714,0,285,"['建桥', '天堂堡']",解放碑
1714,0,285,"['建桥', '天堂堡']",江北嘴
1714,0,285,"['建桥', '天堂堡']",弹子石
786,0,195,"['天堂堡', '新山村']",解放碑
786,0,195,"['天堂堡', '新山村']",江北嘴
786,0,195,"['天堂堡', '新山村']",弹子石
1031,0,219,"['新山村', '大渡口']",解放碑
1031,0,219,"['新山村', '大渡口']",江北嘴
1031,0,219,"['新山村', '大渡口']",弹子石
1158,0,231,"['大渡口', '平安']",解放碑
1158,0,231,"['大渡口', '平安']",江北嘴
1158,0,231,"['大渡口', '平安']",弹子石
1061,0,222,"['平安', '马王场']",解放碑
1061,0,222,"['平安', '马王场']",江北嘴
1061,0,222,"['平安', '马王场']",弹子石
1136,0,229,"['马王场', '大堰村']",解放碑
1136,0,229,"['马王场', '大堰村']",江北嘴
1136,0,229,"['马王场', '大堰村']",弹子石
969,0,213,"['大堰村', '动物园']",解放碑
969,0,213,"['大堰村', '动物园']",江北嘴
969,0,213,"['大堰村', '动物园']",弹子石
1055,0,221,"['动物园', '杨家坪']",解放碑
1055,0,221,"['动物园', '杨家坪']",江北嘴
1055,0,221,"['动物园', '杨家坪']",弹子石
1303,0,245,"['杨家坪', '谢家湾']",解放碑
1303,0,245,"['杨家坪', '谢家湾']",江北嘴
1303,0,245,"['杨家坪', '谢家湾']",弹子石
1247,0,240,"['谢家湾', '袁家岗']",解放碑
1247,0,240,"['谢家湾', '袁家岗']",江北嘴
1247,0,240,"['谢家湾', '袁家岗']",弹子石
1611,0,275,"['袁家岗', '大坪']",解放碑
1611,0,275,"['袁家岗', '大坪']",江北嘴
1611,0,275,"['袁家岗', '大坪']",弹子石
1646,0,278,"['大坪', '佛图关']",解放碑
1646,0,278,"['大坪', '佛图关']",江北嘴
1646,0,278,"['大坪', '佛图关']",弹子石
803,0,197,"['佛图关', '李子坝']",解放碑
803,0,197,"['佛图关', '李子坝']",江北嘴
803,0,197,"['佛图关', '李子坝']",弹子石
1090,0,225,"['李子坝', '牛角沱']",解放碑
1090,0,225,"['李子坝', '牛角沱']",江北嘴
1090,0,225,"['李子坝', '牛角沱']",弹子石
1110,0,227,"['牛角沱', '曾家岩']",解放碑
1110,0,227,"['牛角沱', '曾家岩']",江北嘴
1110,0,227,"['牛角沱', '曾家岩']",弹子石
710,0,188,"['曾家岩', '大溪沟']",解放碑
710,0,188,"['曾家岩', '大溪沟']",江北嘴
710,0,188,"['曾家岩', '大溪沟']",弹子石
756,0,192,"['大溪沟', '黄花园']",解放碑
756,0,192,"['大溪沟', '黄花园']",江北嘴
756,0,192,"['大溪沟', '黄花园']",弹子石
1252,0,240,"['黄花园', '临江门']",解放碑
1252,0,240,"['黄花园', '临江门']",江北嘴
1252,0,240,"['黄花园', '临江门']",弹子石
748,0,192,"['临江门', '较场口']",解放碑
748,0,192,"['临江门', '较场口']",江北嘴
748,0,192,"['临江门', '较场口']",弹子石
1916,0,413,"['鱼洞', '金竹']",解放碑
1916,0,413,"['鱼洞', '金竹']",江北嘴
1916,0,413,"['鱼洞', '金竹']",弹子石
1497,0,375,"['金竹', '鱼胡路']",解放碑
1497,0,375,"['金竹', '鱼胡路']",江北嘴
1497,0,375,"['金竹', '鱼胡路']",弹子石
2129,0,432,"['鱼胡路', '学堂湾']",解放碑
2129,0,432,"['鱼胡路', '学堂湾']",江北嘴
2129,0,432,"['鱼胡路', '学堂湾']",弹子石
1386,0,365,"['学堂湾', '大山村']",解放碑
1386,0,365,"['学堂湾', '大山村']",江北嘴
1386,0,365,"['学堂湾', '大山村']",弹子石
2266,0,445,"['大山村', '花溪']",解放碑
2266,0,445,"['大山村', '花溪']",江北嘴
2266,0,445,"['大山村', '花溪']",弹子石
1911,0,413,"['花溪', '岔路口']",解放碑
1911,0,413,"['花溪', '岔路口']",江北嘴
1911,0,413,"['花溪', '岔路口']",弹子石
1237,0,352,"['岔路口', '九公里']",解放碑
1237,0,352,"['岔路口', '九公里']",江北嘴
1237,0,352,"['岔路口', '九公里']",弹子石
1051,0,335,"['九公里', '麒龙']",解放碑
1051,0,335,"['九公里', '麒龙']",江北嘴
1051,0,335,"['九公里', '麒龙']",弹子石
1282,0,356,"['麒龙', '八公里']",解放碑
1282,0,356,"['麒龙', '八公里']",江北嘴
1282,0,356,"['麒龙', '八公里']",弹子石
1488,0,374,"['八公里', '重庆交通大学']",解放碑
1488,0,374,"['八公里', '重庆交通大学']",江北嘴
1488,0,374,"['八公里', '重庆交通大学']",弹子石
981,0,328,"['重庆交通大学', '六公里']",解放碑
981,0,328,"['重庆交通大学', '六公里']",江北嘴
981,0,328,"['重庆交通大学', '六公里']",弹子石
984,0,329,"['六公里', '重庆工商大学']",解放碑
984,0,329,"['六公里', '重庆工商大学']",江北嘴
984,0,329,"['六公里', '重庆工商大学']",弹子石
1020,0,332,"['重庆工商大学', '四公里']",解放碑
1020,0,332,"['重庆工商大学', '四公里']",江北嘴
1020,0,332,"['重庆工商大学', '四公里']",弹子石
1399,0,366,"['四公里', '南坪']",解放碑
1399,0,366,"['四公里', '南坪']",江北嘴
1399,0,366,"['四公里', '南坪']",弹子石
1014,0,331,"['南坪', '工贸']",解放碑
1014,0,331,"['南坪', '工贸']",江北嘴
1014,0,331,"['南坪', '工贸']",弹子石
1332,0,360,"['工贸', '铜元局']",解放碑
1332,0,360,"['工贸', '铜元局']",江北嘴
1332,0,360,"['工贸', '铜元局']",弹子石
1660,0,390,"['铜元局', '两路口']",解放碑
1660,0,390,"['铜元局', '两路口']",江北嘴
1660,0,390,"['铜元局', '两路口']",弹子石
1149,0,344,"['两路口', '牛角沱']",解放碑
1149,0,344,"['两路口', '牛角沱']",江北嘴
1149,0,344,"['两路口', '牛角沱']",弹子石
880,0,319,"['牛角沱', '华新街']",解放碑
880,0,319,"['牛角沱', '华新街']",江北嘴
880,0,319,"['牛角沱', '华新街']",弹子石
1253,0,353,"['华新街', '观音桥']",解放碑
1253,0,353,"['华新街', '观音桥']",江北嘴
1253,0,353,"['华新街', '观音桥']",弹子石
1567,0,381,"['观音桥', '红旗河沟']",解放碑
1567,0,381,"['观音桥', '红旗河沟']",江北嘴
1567,0,381,"['观音桥', '红旗河沟']",弹子石
1235,0,351,"['红旗河沟', '嘉州路']",解放碑
1235,0,351,"['红旗河沟', '嘉州路']",江北嘴
1235,0,351,"['红旗河沟', '嘉州路']",弹子石
1089,0,338,"['嘉州路', '郑家院子']",解放碑
1089,0,338,"['嘉州路', '郑家院子']",江北嘴
1089,0,338,"['嘉州路', '郑家院子']",弹子石
1014,0,331,"['郑家院子', '唐家院子']",解放碑
1014,0,331,"['郑家院子', '唐家院子']",江北嘴
1014,0,331,"['郑家院子', '唐家院子']",弹子石
968,0,327,"['唐家院子', '狮子坪']",解放碑
968,0,327,"['唐家院子', '狮子坪']",江北嘴
968,0,327,"['唐家院子', '狮子坪']",弹子石
508,0,285,"['狮子坪', '重庆北站南广场']",解放碑
508,0,285,"['狮子坪', '重庆北站南广场']",江北嘴
508,0,285,"['狮子坪', '重庆北站南广场']",弹子石
929,0,324,"['重庆北站南广场', '龙头寺']",解放碑
929,0,324,"['重庆北站南广场', '龙头寺']",江北嘴
929,0,324,"['重庆北站南广场', '龙头寺']",弹子石
1486,0,374,"['龙头寺', '童家院子']",解放碑
1486,0,374,"['龙头寺', '童家院子']",江北嘴
1486,0,374,"['龙头寺', '童家院子']",弹子石
1852,0,407,"['童家院子', '金渝']",解放碑
1852,0,407,"['童家院子', '金渝']",江北嘴
1852,0,407,"['童家院子', '金渝']",弹子石
1274,0,355,"['金渝', '金童路']",解放碑
1274,0,355,"['金渝', '金童路']",江北嘴
1274,0,355,"['金渝', '金童路']",弹子石
2323,0,450,"['金童路', '鸳鸯']",解放碑
2323,0,450,"['金童路', '鸳鸯']",江北嘴
2323,0,450,"['金童路', '鸳鸯']",弹子石
1488,0,374,"['鸳鸯', '园博园']",解放碑
1488,0,374,"['鸳鸯', '园博园']",江北嘴
1488,0,374,"['鸳鸯', '园博园']",弹子石
1716,0,395,"['园博园', '翠云']",解放碑
1716,0,395,"['园博园', '翠云']",江北嘴
1716,0,395,"['园博园', '翠云']",弹子石
1688,0,392,"['翠云', '长福路']",解放碑
1688,0,392,"['翠云', '长福路']",江北嘴
1688,0,392,"['翠云', '长福路']",弹子石
1988,0,420,"['长福路', '回兴']",解放碑
1988,0,420,"['长福路', '回兴']",江北嘴
1988,0,420,"['长福路', '回兴']",弹子石
1707,0,394,"['回兴', '双龙']",解放碑
1707,0,394,"['回兴', '双龙']",江北嘴
1707,0,394,"['回兴', '双龙']",弹子石
2288,0,447,"['双龙', '碧津']",解放碑
2288,0,447,"['双龙', '碧津']",江北嘴
2288,0,447,"['双龙', '碧津']",弹子石
1195,0,348,"['碧津', '江北机场T2航站楼']",解放碑
1195,0,348,"['碧津', '江北机场T2航站楼']",江北嘴
1195,0,348,"['碧津', '江北机场T2航站楼']",弹子石
1435,0,411,"['举人坝', '莲花']",解放碑
1435,0,411,"['举人坝', '莲花']",江北嘴
1435,0,411,"['举人坝', '莲花']",弹子石
1197,0,392,"['莲花', '观月路']",解放碑
1197,0,392,"['莲花', '观月路']",江北嘴
1197,0,392,"['莲花', '观月路']",弹子石
2850,0,521,"['观月路', '高堡湖']",解放碑
2850,0,521,"['观月路', '高堡湖']",江北嘴
2850,0,521,"['观月路', '高堡湖']",弹子石
2142,0,466,"['高堡湖', '空港广场']",解放碑
2142,0,466,"['高堡湖', '空港广场']",江北嘴
2142,0,466,"['高堡湖', '空港广场']",弹子石
